ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-56106,BEV|Wild Tea Kombucha|Cola,BEVERAGE,0,0,0,0,0
R-56313,BEV|Wild Tea Kombucha|Crm Soda,BEVERAGE,0,0,0,0,0
R-56026,BEV|Wild Tea Kombucha|Orange,BEVERAGE,0,0,0,0,0
R-56512,BEV|Wild Tea Kombucha|Rootbeer,BEVERAGE,0,0,0,0,0
R-58379,DEL|Salad|Apple pecan ,GV - DELISH,0,0,0,0,0
R-62269,DEL|Salad|Avocado truffle,SPECIALS,0,0,0,0,0
R-55142,DEL|Salad|Baja goat cheese,GV - DELISH,0,0,0,0,0
R-64467,DEL|Salad|Baja|CHICKEN,GV - DELISH,0,0,0,0,0
R-46547,DEL|Salad|Bandit,GV - DELISH,0,0,0,0,0
R-62529,DEL|Salad|Bandit|Chicken,GV - DELISH,0,0,0,0,0
R-50302,DEL|Salad|Caesar Classic,GV - DELISH,0,0,0,0,0
R-62019,DEL|Salad|Caesar spicy,GV - DELISH,0,0,0,0,0
R-50301,DEL|Salad|Cobb ,GV - DELISH,0,0,0,0,0
R-57281,DEL|Salad|Gather Greenery,GV - DELISH,0,0,0,0,0
R-55144,DEL|Salad|Greek,GV - DELISH,0,0,0,0,0
R-44324,DEL|Salad|Marinated Tofu,GV - DELISH,0,0,0,0,0
R-40545,DEL|Salad|Mediteranean Chicken,GV - DELISH,0,0,0,0,0
R-56513,DEL|Salad|Spicy Caesar Chicken,GV - DELISH,0,0,0,0,0
R-56613,DEL|Smoothie|Almonds forever,GV - DELISH,0,0,0,0,0
R-44306,DEL|Smoothie|Banana Matcha ,GV - DELISH,0,0,0,0,0
R-43697,DEL|Smoothie|Blueberry Boost ,GV - DELISH,0,0,0,0,0
R-55185,DEL|Smoothie|C++,GV - DELISH,0,0,0,0,0
R-44591,DEL|Smoothie|Chocohlic ,GV - DELISH,0,0,0,0,0
R-36817,DEL|Smoothie|Delish,GV - DELISH,0,0,0,0,0
R-56680,DEL|Smoothie|Green means go,GV - DELISH,0,0,0,0,0
R-40466,DEL|Smoothie|Hawaiian Sun,GV - DELISH,0,0,0,0,0
R-50298,DEL|Smoothie|Nojito,GV - DELISH,0,0,0,0,0
R-36814,DEL|Smoothie|Orange Zinger,GV - DELISH,0,0,0,0,0
R-36763,DEL|Smoothie|Rise & Shine,GV - DELISH,0,0,0,0,0
R-49036,DEL|Smoothie|Strwbry Cupid,GV - DELISH,0,0,0,0,0
R-61887,FLX|lettuce wrap pork,GV - FLEX BC,0,0,0,0,0
R-55059,FLX|Lettuce wrap Tofu,GV - FLEX BC,0,0,0,0,0
R-61883,FLX|Sesame shallot chicken,GV - FLEX BC,0,0,0,0,0
R-61884,FLX|Sesame shallot chicken +1,GV - FLEX BC,0,0,0,0,0
R-61889,FLX|Sesame shallot chicken +2,GV - FLEX BC,0,0,0,0,0
R-37735,G&G|Salad|Caesar Kale,PRODUCTION FOOD,0,0,0,0,0
R-37738,G&G|Sand|Egg Salad Russian,PRODUCTION FOOD,0,0,0,0,0
R-65798,G&G|Sand|Egg Salad Russian.,PRODUCTION FOOD,0,0,0,0,0
R-60982,GRL|Prawn po-boy|FT,GV GRILL FEATURE,0,0,0,0,0
R-34864,GRL|Salad|Chef,OK - GRILL KITCHEN DAY,0,0,0,0,0
R-61740,GRL|Salad|Chop Chop,OK - GRILL KITCHEN DAY,0,0,0,0,0
R-56461,GRL|Salad|Nicoise,OK - GRILL BRUNCH,0,0,0,0,0
