PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission (g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom
P-26069,SALAD|Citrus Scented Arugula,15.000,g,PREP,15.000,g,6.22,0.41466666666666663,0.0079,0.0005266666666666667,545.0,36.333333333333336,24834.0,1655.6
P-34892,SAUCE|Hollandaise|GRL,4.000,L,PREP,4000.0,ml,15546.975999999999,3.8867439999999998,14.1876,0.0035469,1393019.36,348.25484,68985968.48,17246.492120000003
P-26205,SAUTEED|Mushroom,1.124,Kg,PREP,1124.0,g,1695.355,1.508322953736655,1.7795,0.001583185053380783,214715.0,191.02758007117438,9053445.0,8054.666370106762
P-9714,SHREDDED|Carrot Jumbo,1.000,Kg,,1000.0,g,360.1419689119171,0.3601419689119171,0.9291709844559586,0.0009291709844559586,11644.041450777202,11.644041450777202,44576.68393782384,44.57668393782384
P-50495,SLURRY|Cornstarch,2.000,L,,2000.0,ml,973.4000000000001,0.4867,0.675,0.0003375,44900.0,22.45,350600.0,175.3
P-44913,SMASHED|Chunky Avocado,1.600,Kg,PREP,1600.0,g,815.2102655890026,0.5095064159931266,0.5121900411264065,0.0003201187757040041,8165.0005331200855,5.103125333200054,69251.9007159041,43.282437947440066
P-50598,WHIPPED|Chantilly|Lemon,2.200,L,,2200.0,ml,7149.902000000001,3.249955454545455,2.889,0.0013131818181818182,39618.0,18.008181818181818,30907989.0,14049.085909090909
P-32739,WHIPPED|CoconutCream,3.100,L,PREP,3100.0,ml,10350.35,3.3388225806451612,0.0,0.0,5385.0,1.7370967741935484,19160.0,6.180645161290323
P-46076,YIELD|Bacon|COOKED,1.750,Kg,PREP,1750.0,g,49157.5,28.09,66.4,0.037942857142857146,9051500.0,5172.285714285715,271213500.0,154979.14285714287
P-50636,YIELD|Banana|Peeled,650.000,g,,650.000,g,747.075,1.149346153846154,0.2835,0.0004361538461538461,1050.0,1.6153846153846154,32865.0,50.56153846153846
P-9713,YIELD|Carrot Jumbo|Processed,19.300,Kg,,19300.0,g,6950.740000000001,0.36014196891191713,17.933,0.0009291709844559586,224730.0,11.644041450777202,860330.0,44.57668393782384
P-44592,YIELD|Chorizo Grind|GRL,3.500,Kg,PREP,3500.0,g,49157.5,14.045,66.4,0.018971428571428573,9051500.0,2586.1428571428573,271213500.0,77489.57142857143
P-26234,BATCH|Roasted Garlic Bread,16.000,ea,PREP,1280.0,g,1760.4630539147743,1.3753617608709174,1.7915200524097643,0.0013996250409451284,377432.81484471157,294.8693865974309,15476624.254042078,12091.112698470373
P-67984,BATCH|Vegetable Biryani ,22.000,Kg,PREP,22000.0,g,18517.9516,0.8417250727272727,6.23375,0.00028335227272727274,7475189.8,339.7813545454545,45658044.6,2075.3656636363635
P-15353,BATTER|Tempura,5.000,L,PREP,5000.0,ml,3452.9691,0.6905938199999999,3.3565808000000006,0.0006713161600000002,953228.8319999999,190.64576639999999,29081602.732,5816.3205464
P-68126,BREADED|Zaatar Chicken,100.000,g,,100.000,g,439.96000000000004,4.3996,1.168,0.01168,37030.0,370.3,33350.0,333.5
P-68324,BREADED|Zaatar Eggplant,100.000,g,,100.000,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
