ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-2443,57,VINEGAR WHITE ,3.0,cup,5.0,ml,N
I-16144,54,SPICE Pickling Whole SO,35.0,g,5.0,g,N
I-13757,26,ITEM 2019 Organic Quinoa,60.0,g,1.0,Kg,N
I-13759,16,ITEM 2019 Edamame Falafel Mix,60.0,g,1.0,Kg,N
I-2153,3,PORK BUTT BNLS BULK FZN,8.0,Kg,6.0,g,Y
I-6865,39,Onion White Peeled,500.0,g,6.0,oz,Y
I-12173,58,Sauce BBQ Kansas City Style,800.0,ml,6.0,ml,Y
I-14424,40,CELERY 3CT,300.0,g,6.0,oz,Y
I-17946,55,JUICE orange 100% tetra,1.0,L,6.0,ml,Y
I-8418,58,ITEM KANSAS CITY BBQ,1.5,fl oz,1.0,ml,N
I-2159,41,POTATO RUSSET BAKER 100CT BOX,600.0,g,6.0,oz,N
I-5773,17,Chana (Chickpea) Flour,60.0,g,6.0,g,N
I-14803,38,Porch Item Shaved Herl Carrots,30.0,g,1.0,g,N
I-14805,38,Porch Item Shaved Radishes,10.0,g,1.0,g,N
I-4697,32,Apple Juice tetra Pack,1.0,ea,4.2,ea,N
I-15071,58,G21- Teriyaki Sauce,15.0,ml,1.0,ml,N
I-13755,58,ITEM 2019 Mapo Sauce,6.0,oz,1.0,g,N
I-14556,1,Beef Ground Lean ,5.0,Kg,3.3,g,N
I-5008,58,Sauce Sriracha Hot Chilli ,150.0,ml,650.0,fl oz,N
I-13793,24,Wrappers Round dumpling,50.0,g,1.0,g,N
I-15673,61,SO BAMBOO LEAVES 200s,1.0,ea,1.0,ea,N
I-2396,20,TOFU EXTRA FIRM,185.0,g,1.0,g,N
I-6090,54,Spice - Turmeric Grnd Shaker,4.0,g,540.0,g,N
I-14604,42,GINGER,8.0,g,540.0,oz,N
I-6203,55,Juice - Lemon Fresh Squeezed,50.0,g,1.2,oz,Y
I-4041,61,Basket Liner Black Check,1.0,ea,1.0,ea,N
I-4098,61,Cup 2oz Portion,2.0,ea,1.0,ea,N
I-4130,61,Lid 2oz Portion Flat Clr f/Blk,2.0,ea,1.0,ea,N
I-7789,61,Napkin Din 2py 1/8 Fold Wht,1.0,ea,1.0,ea,N
I-9599,61,CUTLERY SPOON WOODEN ECO ,1.0,ea,1.0,ea,N
I-9600,61,CUTLERY KNIFE WOODEN ECO,1.0,ea,1.0,ea,N
I-9601,61,CUTLERY FORK WOODEN ECO ,1.0,ea,1.0,ea,N
I-16242,61,9x6x3 CLAMSHELL ,1.0,ea,1.0,ea,N
I-15221,44,White Truffle Oil Truffco,0.5,fl oz,1.0,ml,N
I-14978,24,Brioche Bun Vegan Frz,1.0,ea,1.0,ea,N
I-16803,49,VEGAN Cheddar Slices,25.0,g,1.0,g,N
I-1649,54,CAPER CAPUCINE,8.0,Tbsp,40.0,ml,Y
I-18051,6,CHEESE vegan 4 chz blend,50.0,g,40.0,g,Y
I-7804,40,Romaine Hearts,0.5,HEAD,1.0,HEAD,N
I-4022,24,Belgian Waffle,2.0,ea,1.0,ea,N
I-1882,57,BALSAMIC REDUCTION GL FR,15.0,ml,1.0,ml,N
I-5204,36,ARUGULA WILD BABY,50.0,g,1.0,g,N
I-16697,6,HALLOUMI 22%,20.0,g,1.0,g,N
I-14442,16,Falafel Balls 300ct,4.0,ea,1.0,ea,N
I-10834,20,Tahini 2lb,35.0,g,750.0,g,N
I-14421,54,PEPPER RED 5LB BAG,40.0,g,750.0,oz,N
I-15554,31,PEPPERS YELLOW 5LB,40.0,g,750.0,oz,N
I-1848,4,Chicken Flat Thigh s/on,1.0,Kg,1.0,oz,Y
I-2336,54,SPICE HERB ROSEMARY LEAF ,28.0,g,2.6,g,Y
I-7980,58,Mustard Dijon Grainy Tub,2.5,fl oz,2.6,ml,Y
I-1924,26,IRI SHIRO GOMA (SESAME SEEDS),5.0,g,1.0,oz,N
I-16637,3,GYOZA PORK 12pak/cs,10.0,piece,1.0,piece,N
I-14790,44,Olive Oil Extra virgin ,10.0,ml,1.0,ml,N
I-15736,38,Garlic Toast Slcd par baked ,10.0,slice,1.0,slice,N
