Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-18341,2023 HH Fries,N,,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
R-18459,2023 Homemade burger 5oz,N,Red,True,False,False,6253.297854841788,52.06958412264831,18.465329898068678,338.29,12492.01,1578.18,13.14,85.38,3152.68,4.66
R-18359,2023 Sub Sweet potato fries pr,N,Green,False,False,True,124.352,0.754,0.3946,0.42,12.02,73.15,0.44,0.25,7.07,0.23
R-5816,2023 Tzatziki gallery,Y,Yellow,False,True,False,3136.2376000000004,26.8924,2.62922,263.59,13006.82,258.34,2.22,21.71,1071.4,0.22
R-18277,a,N,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-16355,Aloo Puri 2022,N,Green,False,False,True,496.1039,2.414625,1.92689999999999,42.47,1295.17,146.99,0.72,12.58,383.75,0.57
R-12290,Aperol Spritz Tap,Y,Green,False,False,True,12398.4,77.76,11.97,49.5,552.6,68.88,0.43,0.28,3.07,0.07
R-18271,b,N,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-11289,Bellini Tap,N,Green,False,False,True,21219.21,86.26500000000001,40.509,66.06,746.1,196.47,0.8,0.61,6.91,0.38
R-13395,BIB Mix Coke,N,Green,False,False,True,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.1,0.1,0.0
R-13396,BIB Mix Coke Zero,N,Green,False,False,True,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.1,0.1,0.0
R-13397,BIB Mix Ginger Ale,N,Green,False,False,True,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.1,0.1,0.0
R-13399,BIB Mix Iced Tea,N,Green,False,False,True,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.1,0.1,0.0
R-13398,BIB Mix Sprite,N,Green,False,False,True,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.1,0.1,0.0
R-13402,BIB Mix Tonic,N,Green,False,False,True,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.1,0.1,0.0
R-18310,Blkn Carbonara 2023,N,Red,True,False,False,544.8359868518254,6.437123482950033,0.8528133982908696,84.68,3433.46,461.86,5.46,71.78,2910.58,0.72
R-14150,BQT Mushroom Mix,N,Green,False,False,True,7887.013432,42.03578,24.72562112,85.97,356.09,82.91,0.44,0.9,3.74,0.26
R-15512,"BYO ""PULLED PORK"" TACO ",N,Red,True,False,False,2216.6426308584214,28.046613150082703,5.156697863477184,443.62,13390.98,390.98,4.95,78.25,2361.96,0.91
R-15510,BYO CAULIFLOWER TACO,N,Green,False,False,True,1535.0621863623933,13.073805977413604,3.420516737729463,200.06,7511.17,144.58,1.23,18.84,707.44,0.32
R-17988,c,N,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-18265,Chick pea Falafel Gallery 2023,N,Green,False,False,True,384.2315,0.7585,2.079849999999988,1.71,122.85,213.46,0.42,0.95,68.25,1.16
R-18334,Chicken Pesto Marinate 2023 ,Y,Red,True,False,False,24412.445000000003,589.52,63.0385,2672.2,59883.48,435.94,10.53,47.72,1069.35,1.13
R-15139,chicken Tender,N,Red,True,False,False,886.915044725,19.9671401625,2.41620572,63.36,59.98,477.13,10.74,34.09,32.27,1.3
R-6160,Cinnamon Sugar,N,Green,False,False,True,1382.918,0.405,3.055,6.54,45.82,246.95,0.07,1.17,8.18,0.55
R-13514,Cold Brew Batch,N,Green,False,False,True,30059.1,4.86,38.916,73.19,626.51,199.74,0.03,0.49,4.16,0.26
R-18349,Cooked Linguini 2023,Y,Green,False,False,True,3045.0,29.6,9.7799999999998,850.4,25655.4,21.75,0.21,6.07,183.25,0.07
R-16994,Cucumber Marinate Gal.,N,Green,False,False,True,2067.815,4.119999999999999,4.598999999999965,36.26,2409.66,142.61,0.28,2.5,166.18,0.32
R-18267,Flat Bread (vegan)2023,N,Yellow,False,True,False,677.5499999733381,6.511933769948795,1.0034294072619203,103.39,4711.08,206.82,1.99,31.56,1438.04,0.31
R-18269,Flat Bread chorizo 2023,N,Red,True,False,False,3008.656975588044,23.550118095525992,7.525661922242342,326.55,16973.22,1247.69,9.77,135.42,7038.77,3.12
R-18270,Flat Bread Funghi 2023,N,Red,True,False,False,1435.5534311764725,10.660892823831922,1.9645719723187285,142.57,9182.86,470.98,3.5,46.78,3012.76,0.64
R-13394,Fresh Lemonade,N,Green,False,False,True,0.0,0.0,0.0,0.83,0.83,0.0,0.0,0.1,0.1,0.0
R-12034,G18 Java Rice,N,Green,False,False,True,5095.2575,8.30725,9.11709999999999,1997.3,12672.27,140.37,0.23,55.02,349.1,0.25
R-12266,G18 Parmesan Aioli,Y,Green,False,False,True,2978.6619993377435,57.889499995464,3.4876999992944,595.83,30973.06,61.61,1.2,12.32,640.62,0.07
R-13708,G19 Tomato Pesto,Y,Yellow,False,True,False,15381.9635944032,127.3212998576,14.29282507136,2859.06,184245.24,149.39,1.24,27.77,1789.42,0.14
R-14893,G20 Chicken Tenders,N,Red,True,False,False,1030.12,24.90475,2.579599999999992,99.23,999.0,337.74,8.17,32.53,327.54,0.85
R-14093,G20 Fresh Iced Tea,N,Green,False,False,True,105.0496,0.0,0.15296,1.63,5.16,10.0,0.0,0.16,0.49,0.01
R-14818,G20 Grilled Cheese ,Y,Red,True,False,False,1680.221518837193,16.47981498782435,2.3960929986349573,264.07,12395.43,598.9,5.87,94.13,4418.26,0.85
R-14347,G20 gyoza,N,Red,True,False,False,2205.888787470093,29.682699829481606,4.763588952166417,402.98,12111.95,851.8,11.46,155.61,4677.03,1.84
R-14296,G20 Hummus ,N,Green,False,False,True,4810.9131,16.920949999999998,36.80527,2.31,80.81,159.85,0.56,0.08,2.69,1.22
R-14480,G20 Hummus & Naan,N,Green,False,False,True,351.00391446328933,3.634040091991253,1.075340530394388,84.8,2602.45,119.61,1.24,28.9,886.85,0.37
R-14152,G20 Individual Cheese Plate,N,Red,True,False,False,2498.71502388986,20.53600003099936,6.848030011896411,237.46,10490.79,1234.54,10.15,117.32,5183.2,3.38
R-14689,G20 Korma,N,Red,True,False,False,10218.751743675,19.84012168,31.201625912499992,190.97,9658.58,761.55,1.48,14.23,719.8,2.33
R-14096,G20 Mediteranean Platter,N,Yellow,False,True,False,5909.993781544297,22.563000306637512,16.421375101314627,382.16,13463.0,411.13,1.57,26.59,936.56,1.14
R-14346,G20 Pickles,N,Green,False,False,True,159.35356875000002,1.43240528125,0.20825,14.41,522.84,72.64,0.65,6.57,238.35,0.09
R-14623,G20 Pierogi,N,Yellow,False,True,False,583.1942560608132,5.3816238754184,0.7962032992748088,53.39,3151.91,207.49,1.91,19.0,1121.38,0.28
R-14826,G20 Refried Bean Spread,Y,Yellow,False,True,False,5194.302823450001,16.9790441,38.32362736999999,24.49,1734.0,174.26,0.57,0.82,58.17,1.29
R-14529,G20 Roasted Chickpeas Coating,N,Red,True,False,False,265.64331985,0.191359125,0.8788345,0.71,6.25,937.03,0.68,2.5,22.05,3.1
R-15407,G21 Avocado Spread,N,Green,False,False,True,555.9206393346254,3.383100246564019,0.935900064934645,5.84,62.62,44.37,0.27,0.47,5.0,0.07
R-15408,G21 AVOCADO TOAST,N,Yellow,False,True,False,418.4941418505631,4.097541368026605,0.7361899753458476,73.4,3201.53,183.49,1.8,32.18,1403.75,0.32
R-15486,"G21 B,Bean Patty",N,Green,False,False,True,154312.98144016895,604.4591600026544,1050.0950200004,358.93,13080.62,150.43,0.59,0.35,12.75,1.02
R-15053,G21 BBQ Burger,N,Red,True,False,False,7707.637217003156,63.10866580216459,22.835672990963488,392.52,14446.72,1816.78,14.88,92.52,3405.26,5.38
R-15403,G21 BLT,N,Yellow,False,True,False,700.448998643253,8.635199981673601,1.6698399970992226,142.42,4434.88,275.77,3.4,56.07,1746.02,0.66
