Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-66056,MAGNUM DARK CHOCOLATE TRUFFLE,GROCERY,Yellow,False,True,False,4.0163,0.0162,0.0036899999999999,0.02,17.6,401.63,1.62,2.0,1760.0,0.37
R-64352,MEAT PIE,FT GRAB & GO,Red,True,False,False,31009.725000000773,247.12500000000617,94.83750000000238,1257.9,45981.75,4134.63,32.95,167.72,6130.9,12.65
R-56800,MERC|Crispy Kale Pizza,FOOD,Yellow,False,True,False,859.7258853582293,6.561601071724761,2.516174423027112,178.77,7832.52,154.91,1.18,32.21,1411.26,0.45
R-45855,Mexican Green Rice,FT HOMESKILLET,Green,False,False,True,268.62504882630327,0.6580787768850559,0.3876179483892595,137.0,564.0,157.92,0.39,80.54,331.58,0.23
R-24495,MISC CONTAINER ECO-TO-GO PURCH,ZDONT USE UBCO,Green,False,False,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-24141,MISC CONTAINER OWN  CREDIT,ZDONT USE UBCO,Green,False,False,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-22905,MISC CONTAINER TAKE-OUT CLAM,ZDONT USE UBCO,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-24169,MISC CUP OWN  CREDIT,FEAST,Green,False,False,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-67306,MS|flatbread|4 cheese,FT MERCANTE,Red,True,False,False,1100.821,11.8745,1.4473999999999951,201.49,9962.44,489.25,5.28,89.55,4427.75,0.64
R-50533,MS|Flatbread|Artichoke Pesto,FT MERCANTE,Yellow,False,True,False,479.3158524395604,4.769701780219781,0.9148605846153796,81.19,3686.72,245.8,2.45,41.64,1890.63,0.47
R-62042,MS|Flatbread|BBQ Brisket,FT MERCANTE,Red,True,False,False,2342.660222293898,19.62365863665047,6.5845967419171,150.03,6072.95,1195.23,10.01,76.55,3098.44,3.36
R-68036,MS|Flatbread|Caprese.,FT MERCANTE,Yellow,False,True,False,332.7973333333333,3.7900416666666654,0.5245666666666617,64.89,2920.77,221.86,2.53,43.26,1947.18,0.35
R-50858,MS|Flatbread|Greek,FT MERCANTE,Yellow,False,True,False,356.69735430511,3.7961630725088447,0.6037709824471312,66.31,2942.37,230.13,2.45,42.78,1898.3,0.39
R-67360,MS|Flatbread|Hawaiian,FT MERCANTE,Red,True,False,False,753.771,8.248797142857143,1.3800262857142704,155.99,6600.09,329.16,3.6,68.12,2882.14,0.6
R-50562,MS|Flatbread|Italian,FT MERCANTE,Red,True,False,False,861.556875,10.745,1.6883749999999895,162.38,5737.87,538.47,6.72,101.49,3586.17,1.06
R-46419,MS|Flatbread|Lebanese,FT MERCANTE,Red,True,False,False,559.5417223835897,4.782182338871794,1.3430268464410209,104.7,5468.93,302.45,2.58,56.59,2956.18,0.73
R-64415,MS|Flatbread|Margherita,FT MERCANTE,Red,True,False,False,862.5051399999998,9.08914,1.269053999999995,156.43,7675.23,429.11,4.52,77.83,3818.52,0.63
R-64414,MS|Flatbread|Pepperoni,FT MERCANTE,Red,True,False,False,1549.3469999999998,19.556500000000003,2.921799999999985,288.96,10558.92,584.66,7.38,109.04,3984.5,1.1
R-54387,MS|Flatbread|Pulled Pork ,FT MERCANTE,Red,True,False,False,1037.470627228327,12.11766429638871,1.8940376912739387,175.02,6784.54,451.07,5.27,76.1,2949.8,0.82
R-67557,MS|Flatbread|Salami & mushroom,FT MERCANTE,Red,True,False,False,1386.966405442177,17.35221088435374,2.5952598639455653,257.71,9665.28,470.16,5.88,87.36,3276.37,0.88
R-61002,MS|PIZZA|Cubano,MERCANTE - FOOD,Red,True,False,False,2265.226145886408,26.461795108691813,4.7683590610391775,419.11,14704.67,510.19,5.96,94.39,3311.86,1.07
R-54384,MS|Pizza|Devil Horse (Test),FT MERCANTE,Red,True,False,False,1662.63242,19.27552,3.088551999999975,324.85,12851.94,434.11,5.03,84.82,3355.6,0.81
R-54385,MS|Pizza|RoastRedPepper (Test),FT MERCANTE,Yellow,False,True,False,1698.6660644891913,17.483159234392417,4.324239405065602,409.1,14537.23,183.24,1.89,44.13,1568.2,0.47
