ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g*Sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-62255,HS|Jalapeno Cheddar Cornbread,FT SIDES,421.135042,120.0,0.4211,0.350946,350.945868,21,7369.863228,3.66,2287.3,0.53
R-22853,FRUIT|Grapefruit,FT GRAB & GO,48.48660776,123.0000197,0.0485,0.03942,39.42,949,37409.58,0.27,134.55,0.04
R-27422,GRL|Side Scrambled Eggs,FT GRILL BREAKFAST,508.8094977,125.0,0.5088,0.407048,407.047598,13099,5331916.486,6.8,2069.01,0.76
R-53848,FLEX|Spicy Caesar|SIDE,FT OASIS/CHAAT,214.6037887,125.0,0.2146,0.171683,171.683031,116,19915.2316,1.68,1191.48,0.3
R-51266,FLX|Hummus & Pita|Med,FEAST,211.2211569,126.0,0.2112,0.167636,167.635839,70,11734.50873,0.85,902.08,0.91
R-40022,ADD|Chicken Balls(3),FT GRILL FREATURES,561.2690709,127.57275,0.5613,0.43996,439.96,118,51915.28,11.68,33.35,1.15
R-48609,FRUIT|Pink Grapefruit|Cup,FT GRAB & GO,50.28917805,127.57275,0.0503,0.03942,39.42,8,315.36,0.27,134.55,0.04
R-52600,FRUIT|Blueberry|Cup,FT GRAB & GO,211.8016,128.0,0.2118,0.16547,165.47,15,2482.05,0.27,1624.51,0.07
R-22855,FRUIT|Orange Whole,FT GRAB & GO,51.64018502,130.999962,0.0516,0.03942,39.42,3201,126183.42,0.27,134.55,0.04
R-47027,FREE|Green-To-Go|Orange,FT GRAB & GO,51.64018502,130.999962,0.0516,0.03942,39.42,54,2128.68,0.27,134.55,0.04
R-22856,FRUIT|Orange Cut,FT GRAB & GO,51.64018502,132.999962,0.0516,0.038827,38.827218,1791,69539.54744,0.27,132.53,0.04
