ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-54833,G&G |Chicken Alfredo| Packaged,SPECIALS,1233.125822,471.796,1.2331,0.261368,261.368435,4,1045.47374,4.38,1181.03,0.53
R-50330,CAL|Taco|Chicken(1),GV - CALIENTE,290.2008782,112.0,0.2902,0.259108,259.107927,478,123853.5891,3.39,791.34,0.55
R-44511,CAL|Soup|Tortilla Chicken,GV - CALIENTE,999.5085114,388.0,0.9995,0.257605,257.605286,906,233390.3891,6.22,717.68,0.89
R-55426,GRL|Afritada plate|SP,SPECIALS,1254.212141,495.0,1.2542,0.253376,253.37619,95,24070.73805,5.0,127.53,0.56
R-55304,FLX|BPD||Adobo Chicken plate+1,GV - FLEX BC,1347.739984,550.0,1.3477,0.245044,245.043633,24,5881.047192,4.68,165.4,0.57
R-55057,FF|Bowl|Mediterranean,GV FRESH FARE DAY,988.5190528,405.0,0.9885,0.244079,244.078778,33,8054.599674,1.92,1177.08,0.67
R-40586,FLX|Bao|Bun|Thai Chicken,GV FLEX BAO,614.9377715,252.0,0.6149,0.244023,244.022925,108,26354.4759,5.56,380.55,0.64
R-53419,POP|Plant base dog|TEN,SPECIALS,206.4095874,86.0,0.2064,0.240011,240.011148,78,18720.86954,1.86,1392.83,0.42
R-52651,GRL|Add|PickledVeg,ADD ONS,54.24538223,23.0,0.0542,0.235849,235.849488,302,71226.54538,0.83,87.96,0.21
R-49939,GRLTortellini Alfredo|SP,SPECIALS,342.5955774,146.0,0.3426,0.234655,234.654505,89,20884.25095,5.06,1870.27,0.38
R-54196,FF|Empanada|feta pepper|ARI,SPECIALS,603.063701,260.0,0.6031,0.231948,231.947577,49,11365.43127,2.36,1876.7,0.44
R-55144,DEL|Salad|Greek,GV - DELISH,674.9744817,293.0,0.675,0.230367,230.366717,17,3916.234189,2.37,1591.95,0.36
