ConversionId,ConvertToQty,ConvertToUom,Category,CO2 Emission (g CO2),Nitrogen Lost (g),Water Withdrawals (mL),PrepId,Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),Weight (g),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g
I-135,27.5,g,40,0.5029,0.0079,81.3,P-24,13.82975,0.21725000000000003,2235.75,1955.0,0.7074040920716113,0.011112531969309464,0.1143606138107417,0.007074040920716113,0.00011112531969309465,0.001143606138107417
I-137,27.5,g,40,0.5029,0.0079,81.3,P-24,13.82975,0.21725000000000003,2235.75,1955.0,0.7074040920716113,0.011112531969309464,0.1143606138107417,0.007074040920716113,0.00011112531969309465,0.001143606138107417
I-139,79.3787,g,40,0.5029,0.0079,81.3,P-25,39.91954823,0.6270917300000001,6453.48831,2632.3387000000002,1.5165050086449738,0.023822608010131828,0.24516177610426804,0.015165050086449739,0.00023822608010131828,0.0024516177610426804
I-38,1800.0,g,51,1.3776,0.00864,4.5,P-7,2479.68,15.552,8100.0,2860.45265,86.68837779922698,0.5436901743505524,0.2831719658075794,0.8668837779922698,0.005436901743505525,0.0028317196580757943
I-41,150.0,g,41,0.397,0.005,2.6,P-8,59.550000000000004,0.75,390.0,260.0,22.903846153846157,0.2884615384615385,0.15,0.22903846153846155,0.0028846153846153848,0.0015
I-63,3250.0,g,41,0.397,0.005,2.6,P-12,1290.25,16.25,8450.0,3764.5,34.27413999203082,0.43166423163766765,0.22446540045158717,0.34274139992030817,0.0043166423163766765,0.0022446540045158716
I-42,50.0,g,6,8.9104,0.0933,1559.3,P-8,445.52,4.665,77965.0,260.0,171.35384615384615,1.794230769230769,29.986538461538466,1.7135384615384615,0.01794230769230769,0.29986538461538464
I-71,190.0,g,21,1.4785,0.005900000000000001,677.075,P-12,280.91499999999996,1.1210000000000002,128644.25000000001,3764.5,7.462212777261255,0.029778190994820035,3.4172997742064024,0.07462212777261255,0.00029778190994820034,0.034172997742064025
I-106,200.0,g,21,1.4785,0.005900000000000001,677.075,P-20,295.7,1.1800000000000002,135415.0,200.0,147.85,0.5900000000000001,67.7075,1.4785,0.005900000000000001,0.677075
I-120,1082.0,g,21,1.4785,0.005900000000000001,677.075,P-23,1599.7369999999999,6.383800000000001,732595.15,20444.0,7.824970651535902,0.031225787517119942,3.5834237429074545,0.07824970651535902,0.00031225787517119943,0.035834237429074545
I-75,2000.0,g,24,1.5225,0.0148,419.2,P-14,3045.0,29.6,838400.0,7130.0,42.70687237026648,0.4151472650771389,11.758765778401122,0.4270687237026648,0.004151472650771389,0.11758765778401122
I-12,340.0,g,24,1.5225,0.0148,419.2,P-3,517.65,5.032,142528.0,430.0,120.38372093023256,1.1702325581395348,33.1460465116279,1.2038372093023255,0.011702325581395348,0.331460465116279
I-76,30.0,ml,49,5.6383,0.0002,317.9,P-14,169.149,0.006,9537.0,7130.0,2.3723562412342214,8.41514726507714e-05,0.13375876577840115,0.023723562412342216,8.415147265077139e-07,0.0013375876577840114
I-92,400.0,ml,49,5.6383,0.0002,317.9,P-17,2255.32,0.08,127159.99999999999,570.0,395.6701754385965,0.014035087719298244,22.30877192982456,3.956701754385965,0.00014035087719298245,0.22308771929824558
