IngredientId,Qty,Uom,Recipe
I-8418,1.5,fl oz,P-16795
I-8667,2.0,fl oz,P-16795
I-11706,1.0,ea,P-16795
I-14715,30.0,g,P-16795
I-14948,1.0,ea,P-16795
P-16793,170.0,g,P-16795
I-16794,1.0,PORT,P-16795
I-16860,10.0,g,P-16795
I-1874,5.0,g,R-16785
I-2087,0.01,BUNCH,R-16785
I-2119,15.0,ml,R-16785
I-2159,600.0,g,R-16785
I-3230,2.0,g,R-16785
I-5773,60.0,g,R-16785
I-6865,1.0,oz,R-16785
I-13719,2.0,ea,R-16785
I-13757,128.0,g,R-16785
I-5803,5.0,g,R-16786
I-13719,4.0,ea,R-16786
I-13757,0.5,Kg,R-16786
I-3914,65.0,g,R-16783
I-13813,0.1,LBS,R-16783
I-14803,30.0,g,R-16783
I-14805,10.0,g,R-16783
I-16784,1.0,PORT,R-16783
I-16785,1.0,PORT,R-16783
I-16786,10.0,g,R-16783
I-16834,10.0,g,R-16783
I-1841,10.0,ml,R-16784
I-3230,2.0,g,R-16784
I-3258,6.0,g,R-16784
I-4091,4.0,g,R-16784
I-4925,500.0,g,R-16784
I-1655,200.0,g,R-16861
I-2068,400.0,g,R-16861
I-2119,1.5,cup,R-16861
I-2153,4.2,Kg,R-16861
I-2209,45.0,mg,R-16861
I-4697,1.0,ea,R-16861
I-8851,400.0,g,R-16861
I-14423,200.0,g,R-16861
I-1841,10.0,g,R-16835
I-3230,2.0,g,R-16835
I-3258,6.0,g,R-16835
I-4925,500.0,g,R-16835
I-5283,3.0,g,R-16835
I-1689,30.0,g,R-16798
I-5265,1.0,slice,R-16798
I-12209,3.0,fl oz,R-16798
I-13719,1.0,ea,R-16798
I-13813,0.1,LBS,R-16798
I-16789,1.0,PORT,R-16798
I-18349,8.0,oz,R-16798
I-13706,2.5,oz,R-16585
I-15071,15.0,ml,R-16585
I-12135,50.0,g,R-14983
I-13719,1.0,ea,R-14983
I-13755,6.0,oz,R-14983
I-14822,20.0,g,R-14983
I-15834,100.0,g,R-14983
I-1773,500.0,g,R-17373
I-1908,50.0,g,R-17373
I-2068,1.0,Kg,R-17373
I-2102,500.0,g,R-17373
I-2119,200.0,ml,R-17373
I-14423,600.0,g,R-17373
I-14556,5.0,Kg,R-17373
I-2367,400.0,g,R-16859
I-2640,200.0,g,R-16859
I-2367,440.0,g,R-16844
I-2640,1.0,cup,R-16844
I-2209,1.0,g,R-16860
I-2436,0.7,fl oz,R-16860
I-3230,1.0,g,R-16860
I-8749,500.0,ml,R-16860
I-16844,2.1,fl oz,R-16860
I-5008,150.0,ml,R-16862
I-8667,500.0,ml,R-16862
I-3914,30.0,g,R-8988
I-13813,0.01,LBS,R-8988
I-14803,5.0,g,R-8988
I-14805,5.0,g,R-8988
I-16857,1.0,oz,R-8988
I-1894,1.0,oz,R-17362
I-2119,50.0,ml,R-17362
I-2262,2.0,g,R-17362
I-5777,50.0,g,R-17362
I-7338,4.0,oz,R-17362
I-13719,1.0,ea,R-17362
I-13793,50.0,g,R-17362
I-15673,1.0,ea,R-17362
I-17350,3.0,oz,R-17362
I-1894,2.0,oz,R-17363
I-2119,50.0,ml,R-17363
I-2262,2.0,g,R-17363
I-2396,185.0,g,R-17363
I-13793,50.0,g,R-17363
I-15673,1.0,ea,R-17363
I-1874,8.0,g,R-17350
I-1958,118.0,ml,R-17350
I-2119,2.0,Tbsp,R-17350
I-2238,1.0,cup,R-17350
I-2323,0.5,tsp,R-17350
I-5198,118.0,ml,R-17350
I-6090,4.0,g,R-17350
I-14604,8.0,g,R-17350
I-2355,20.0,mg,R-17353
I-2640,50.0,ml,R-17353
I-15001,500.0,ml,R-17353
I-1752,0.2,BUNCH,R-14504
I-1841,20.0,g,R-14504
I-1874,30.0,g,R-14504
I-1995,5.0,g,R-14504
I-2087,0.1,BUNCH,R-14504
I-2099,400.0,g,R-14504
I-2367,400.0,g,R-14504
I-2640,2.0,cup,R-14504
I-5283,20.0,g,R-14504
I-6203,50.0,g,R-14504
I-6204,50.0,g,R-14504
I-1782,30.0,ml,R-16006
I-1897,2.0,fl oz,R-16006
I-3498,1.0,slice,R-16006
I-4184,30.0,ml,R-16006
I-5220,3000.0,g,R-16006
I-11125,2.0,Tbsp,R-16006
I-14218,1.0,ea,R-16006
I-14948,1.0,ea,R-16006
I-4041,1.0,ea,R-17297
I-4098,2.0,ea,R-17297
I-4130,2.0,ea,R-17297
I-7789,1.0,ea,R-17297
I-9599,1.0,ea,R-17297
I-9600,1.0,ea,R-17297
I-9601,1.0,ea,R-17297
I-16242,1.0,ea,R-17297
I-1689,25.0,g,R-14987
I-1863,450.0,g,R-14987
I-2087,0.1,BUNCH,R-14987
I-2119,60.0,ml,R-14987
I-8667,2.0,fl oz,R-14987
I-15221,0.5,fl oz,R-14987
I-2066,20.0,g,R-15057
I-2121,1.0,slice,R-15057
I-2402,30.0,g,R-15057
I-5220,10.0,g,R-15057
P-6811,2.0,fl oz,R-15057
I-11706,1.0,ea,R-15057
I-13719,1.0,ea,R-15057
I-14978,1.0,ea,R-15057
I-15486,1.0,ea,R-15057
I-15514,1.0,slice,R-15057
I-16803,25.0,g,R-15057
I-1649,8.0,Tbsp,R-16780
I-1941,90.0,fl oz,R-16780
I-5283,2.56,g,R-16780
I-8749,23.1,fl oz,R-16780
I-15925,100.0,g,R-16780
I-16855,120.0,g,R-16780
I-18051,50.0,g,R-16780
I-1963,0.25,ea,R-16782
I-7804,0.5,HEAD,R-16782
I-13719,1.0,ea,R-16782
I-15514,1.0,slice,R-16782
I-16699,80.0,g,R-16782
I-16780,45.0,mg,R-16782
I-16856,15.0,g,R-16782
I-18051,20.0,g,R-16782
I-5198,10.0,fl oz,R-16858
I-8749,2.1,L,R-16858
I-2119,250.0,ml,R-16856
I-3230,3.0,g,R-16856
