PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-6150,PREP BURGER SAUCE,8.0,L,N,8000.0,ml,1610.8624,0.2013578,53.264,0.006658000000000001,304308.2,38.038525,14986939.4,1873.3674250000001,2.106,0.00026325
P-3249,PREP CRAB MIX,5.85,Kg,N,5850.0,g,95918.39600000001,16.39630700854701,325.912,0.05571145299145299,5503637.0,940.7926495726496,222403629.0,38017.71435897436,13.4838,0.002304923076923077
P-8018,PREP GARLIC MAYO,4.0,L,N,4000.0,ml,3150.9,0.787725,27.2,0.0068,148400.0,37.1,9477420.0,2369.355,13.1399999999999,0.003284999999999975
P-18444,Prep hummus Gallery 2023,1408.0,g,N,1408.0,g,2473.5609999999997,1.7567904829545453,6.9655,0.0049470880681818175,9963.0,7.075994318181818,550908.3,391.2700994318182,16.01239999999999,0.011372443181818175
P-6068,PREP KANSAS CITY BBQ,1.0,L,N,1000.0,ml,2209.64655605,2.20964655605,6.408068375000001,0.006408068375000001,56605.2138375,56.6052138375,3020828.1924874997,3020.8281924874996,4.03585705,0.00403585705
P-6053,PREP- MANGO VINAIGRETTE,1.0,L,N,1000.0,ml,2303.7500999999997,2.3037501,3.29225,0.00329225,29175.3,29.1753,1806570.3000000003,1806.5703000000003,5.950299999999963,0.005950299999999963
P-5814,PREP PULLED PORK RUB,880.0,g,N,880.0,g,3916.1159999999995,4.450131818181817,2.822,0.0032068181818181818,31952.5,36.30965909090909,1462720.5,1662.1823863636364,11.5652,0.013142272727272728
P-6476,PREP SRIRACHA MAYONAISE,650.0,ml,N,650.0,ml,0.0,0.0,4.3875,0.00675,13146.25,20.225,737701.25,1134.925,0.0,0.0
P-3237,PREP TERIYAKI SAUCE,76.0,L,N,76000.0,ml,51744.7012,0.6808513315789474,275.1604,0.003620531578947368,1213537.4,15.967597368421051,45995715.4,605.2067815789474,76.12232,0.0010016094736842107
P-6811,PREP VEGAN MAYO,2.0,L,N,2000.0,ml,3615.252,1.807626,4.031000000000001,0.0020155000000000004,19097.0,9.5485,511161.0,255.5805,16.4122,0.0082061
P-15419,Spicy mayo prep 2023,1.25,L,N,1250.0,ml,0.0,0.0,8.504999999999999,0.006803999999999999,25483.5,20.3868,1430005.5,1144.0044,0.0,0.0
P-18329,Truffle Cream prep 2023 ,310.0,g,Y,310.0,g,2048.6967166000004,6.608699085806453,7.8683148,0.025381660645161293,9858.645,31.802080645161293,8686691.171279998,28021.584423483866,2.5726023599999968,0.00829871729032257
